cause,effect,lag,granger_pval,n_signals,win_rate,avg_return_pct,sharpe_signal
XUT,XWD,4,0.0,280,0.596,0.2397,2.69
XUT,XIU,4,0.0,282,0.599,0.2463,2.56
XUT,XQQ,4,0.0,282,0.567,0.2877,2.56
XUT,XSP,4,0.0,282,0.578,0.2694,2.48
XEG,XQQ,5,0.001,382,0.589,0.2771,2.44
XUT,ZEB,4,0.0,282,0.596,0.2666,2.4
XUT,XFN,4,0.0,282,0.606,0.2444,2.3
XEG,XWD,5,0.0,417,0.576,0.1898,2.21
ENCC,XQQ,5,0.0012,384,0.583,0.2529,2.19
XEG,XSP,5,0.0011,621,0.581,0.2232,1.92
XGD,XQQ,4,0.0113,434,0.592,0.1711,1.81
XFN,XQQ,1,0.0,347,0.573,0.2114,1.68
ZEB,XQQ,1,0.0,333,0.589,0.2011,1.64
ZEB,XSP,1,0.0,380,0.587,0.1638,1.46
XSP,XUT,4,0.0001,352,0.599,0.1664,1.44
XUT,XIU,5,0.0,282,0.589,0.1215,1.42
XSP,XQQ,2,0.0005,359,0.563,0.1789,1.41
XGD,XWD,4,0.0181,489,0.564,0.1008,1.39
XRE,XQQ,4,0.0001,324,0.599,0.1632,1.39
XUT,XEG,5,0.0004,282,0.574,0.2383,1.35
XEG,ZEB,5,0.0035,417,0.576,0.149,1.34
XUT,XFN,5,0.0,282,0.596,0.1266,1.32
XUT,XQQ,1,0.0,288,0.556,0.1462,1.29
ZEB,XWD,1,0.0,375,0.563,0.1241,1.28
XGD,ZEB,2,0.0219,482,0.583,0.1117,1.27
XUT,ZEB,2,0.0,284,0.553,0.153,1.27
XUT,XEG,4,0.0003,282,0.571,0.2104,1.26
ZEB,XGD,5,0.0,373,0.552,0.2171,1.25
XFN,ZEB,2,0.0003,389,0.563,0.1414,1.19
XFN,XWD,1,0.0002,397,0.552,0.1144,1.18
XUT,ZEB,5,0.0,282,0.592,0.1058,1.07
XUT,XFN,2,0.0,284,0.556,0.1234,1.05
XEG,XQQ,2,0.0013,380,0.568,0.1223,1.03
XWD,XUT,4,0.0043,326,0.558,0.1157,1.0
XRE,ZEB,5,0.0,362,0.564,0.0985,0.98
XFN,XEG,5,0.0044,524,0.559,0.1828,0.97
XIU,XEG,5,0.0157,589,0.553,0.1723,0.96
U-UN,XIU,5,0.0245,559,0.574,0.0799,0.94
XUT,XIU,2,0.0,284,0.599,0.0994,0.93
XEG,XRE,5,0.0,588,0.556,0.1035,0.92
XRE,XWD,4,0.0,370,0.554,0.0859,0.92
ZAG,XQQ,5,0.0,334,0.563,0.0811,0.83
ZAG,XWD,3,0.0,356,0.553,0.0646,0.81
XWD,XFN,2,0.0274,379,0.559,0.0902,0.8
ZEB,XFN,2,0.0004,377,0.554,0.0898,0.78
ZEB,XQQ,4,0.0,332,0.551,0.1046,0.77
XIU,XQQ,4,0.0,340,0.556,0.101,0.76
XUT,XSP,5,0.0,282,0.553,0.0748,0.74
XSP,XWD,2,0.0001,410,0.554,0.0672,0.71
XRE,XIU,4,0.0253,524,0.557,0.0769,0.68
ZEB,XIU,2,0.0011,377,0.568,0.0674,0.64
ENCC,XQQ,3,0.0066,388,0.567,0.0795,0.63
ZAG,XFN,2,0.0,362,0.564,0.0509,0.55
ENCC,XQQ,2,0.0142,385,0.566,0.0662,0.54
ZEB,XSP,4,0.0,379,0.554,0.0634,0.51
ENCC,XQQ,1,0.0329,392,0.554,0.0625,0.51
